YEAR,STATE,XX,REP_V,DEM_V,OTH_V,TOT_V,REP_S,DEM_S,OTH_S,TOT_S,VOTE_%,SEAT_%
2004,Alabama,AL,1079657,821919,1453,1903029,5,2,0,7,0.432230,0.285714
2004,Alaska,AK,213216,67074,19706,299996,1,0,0,1,0.239302,0.000000
2004,Arizona,AZ,1127591,762052,48671,1938314,6,2,0,8,0.403278,0.250000
2004,Arkansas,AR,436964,611003,7020,1054987,1,3,0,4,0.583036,0.750000
2004,California,CA,5236683,6468816,289387,11994886,20,33,0,53,0.552631,0.622642
2004,Colorado,CO,991835,995283,51893,2039011,4,3,0,7,0.500868,0.428571
2004,Connecticut,CT,629934,785747,13057,1428738,3,2,0,5,0.555031,0.400000
2004,Delaware,DE,245978,105716,4351,356045,1,0,0,1,0.300591,0.000000
2004,Florida,FL,4495839,3346656,5967,7848462,18,7,0,25,0.426734,0.280000
2004,Georgia,GA,1979430,1541157,0,3520587,7,6,0,13,0.437756,0.461538
2004,Hawaii,HI,148443,261884,6243,416570,0,2,0,2,0.638232,1.000000
2004,Idaho,ID,401366,171060,0,572426,2,0,0,2,0.298833,0.000000
2004,Illinois,IL,2360620,2675273,14726,5050619,9,10,0,19,0.531241,0.526316
2004,Indiana,IN,1381699,999082,35470,2416251,7,2,0,9,0.419645,0.222222
2004,Iowa,IA,822653,624620,10888,1458161,4,1,0,5,0.431584,0.200000
2004,Kansas,KS,723794,489731,21102,1234627,3,1,0,4,0.403561,0.250000
2004,Kentucky,KY,1043873,689545,15779,1749197,5,1,0,6,0.397795,0.166667
2004,Louisiana,LA,927271,541113,0,1468384,5,2,0,7,0.368509,0.285714
2004,Maine,ME,283210,418380,8586,710176,0,2,0,2,0.596331,1.000000
2004,Maryland,MD,896232,1310791,46497,2253520,2,6,0,8,0.593918,0.750000
2004,Massachusetts,MA,906200,2108467,86170,3100837,0,10,0,10,0.699403,1.000000
2004,Michigan,MI,2288594,2242435,100300,4631329,9,6,0,15,0.494906,0.400000
2004,Minnesota,MN,1236094,1399624,85963,2721681,4,4,0,8,0.531022,0.500000
2004,Mississippi,MS,658589,529263,6259,1194111,2,2,0,4,0.445563,0.500000
2004,Missouri,MO,1429767,1192674,44582,2667023,5,4,0,9,0.454795,0.444444
2004,Montana,MT,286076,145606,12548,444230,1,0,0,1,0.337299,0.000000
2004,Nebraska,NE,515115,230697,19160,764972,3,0,0,3,0.309323,0.000000
2004,Nevada,NV,420711,333912,36810,791433,2,1,0,3,0.442489,0.333333
2004,New Hampshire,NH,396024,243506,12036,651566,2,0,0,2,0.380758,0.000000
2004,New Jersey,NJ,1592881,1747922,43403,3384206,7,6,0,13,0.523204,0.461538
2004,New Mexico,NM,357805,384900,194,742899,2,1,0,3,0.518241,0.333333
2004,New York,NY,2391375,3721729,1492989,7606093,9,20,0,29,0.608812,0.689655
2004,North Carolina,NC,1743131,1669864,76,3413071,7,6,0,13,0.489266,0.461538
2004,North Dakota,ND,125684,185130,0,310814,0,1,0,1,0.595630,1.000000
2004,Ohio,OH,2841356,2514613,18626,5374595,12,6,0,18,0.469497,0.333333
2004,Oklahoma,OK,875927,567052,7058,1450037,4,1,0,5,0.392973,0.200000
2004,Oregon,OR,761545,951688,59073,1772306,1,4,0,5,0.555492,0.800000
2004,Pennsylvania,PA,2870645,2794747,35850,5701242,12,7,0,19,0.493302,0.368421
2004,Rhode Island,RI,112958,279315,9902,402175,0,2,0,2,0.712042,1.000000
2004,South Carolina,SC,913168,648264,12664,1574096,4,2,0,6,0.415173,0.333333
2004,South Dakota,SD,178823,207837,2808,389468,0,1,0,1,0.537519,1.000000
2004,Tennessee,TN,1160821,1131561,25958,2318340,4,5,0,9,0.493618,0.555556
2004,Texas,TX,4219399,3148720,103866,7471985,21,11,0,32,0.427344,0.343750
2004,Utah,UT,520403,361628,26826,908857,2,1,0,3,0.409995,0.333333
2004,Vermont,VT,74271,21684,209053,305008,0,0,1,1,,
2004,Virginia,VA,1817422,1307071,19954,3144447,8,3,0,11,0.418331,0.272727
2004,Washington,WA,1095493,1608751,25751,2729995,3,6,0,9,0.594899,0.666667
2004,West Virginia,WV,303042,415396,3218,721656,1,2,0,3,0.578193,0.666667
2004,Wisconsin,WI,1489670,1381217,31811,2902698,4,4,0,8,0.481112,0.500000
2004,Wyoming,WY,132107,99989,7067,239163,1,0,0,1,0.430809,0.000000
